company,funding_date,funding_amount_usd,investor
Perez-Keller,2019-10-20,438425000,SoftBank
"Tucker, Jenkins and Bowers",2019-10-20,85821000,Andreessen Horowitz
Reed Ltd,2019-10-20,789913000,Y Combinator
"Miles, Mcgrath and Le",2019-10-20,42982000,Y Combinator
Brown LLC,2019-10-19,99311000,Y Combinator
Bell LLC,2019-10-19,123171000,Accel
Morgan Inc,2019-10-19,1266541000,Sequoia
Costa-Smith,2019-10-19,120730000,Sequoia
Hatfield Inc,2019-10-19,321898000,Y Combinator
"Morris, Taylor and Joseph",2019-10-19,711219000,Y Combinator
"Robles, Hernandez and Hernandez",2019-10-19,51674000,Sequoia
Smith-Le,2019-10-19,97554000,SoftBank
Hogan-Wiggins,2019-10-19,175102000,Tiger Global
"Garcia, Cook and Clayton",2019-10-19,175210000,SoftBank
Thompson and Sons,2019-10-18,364541000,Andreessen Horowitz
"Donaldson, Holland and Hill",2019-10-18,411873000,Tiger Global
Davis Ltd,2019-10-18,1294428000,Index Ventures
Mora PLC,2019-10-18,442238000,Index Ventures
"Greene, Simon and Smith",2019-10-18,297981000,Accel
Rice-Morton,2019-10-18,1473716000,Index Ventures
Harris-Munoz,2019-10-18,479876000,Tiger Global
"Jones, Valentine and Parker",2019-10-18,41484000,Index Ventures
Harrell-Miller,2019-10-18,168108000,Tiger Global
Russell-Weaver,2019-10-18,487662000,Y Combinator
Martin LLC,2019-10-18,65708000,Y Combinator
Edwards-Allen,2019-10-18,58449000,Index Ventures
"Carney, Collins and Richardson",2019-10-17,787913000,Index Ventures
Herring LLC,2019-10-17,602855000,Y Combinator
Herrera-Barber,2019-10-17,1461837000,Accel
Mcdaniel and Sons,2019-10-17,1485787000,Tiger Global
"Cross, Hall and Vega",2019-10-17,2512845000,Andreessen Horowitz
Bradley-Jones,2019-10-17,498057000,Sequoia
Olson PLC,2019-10-17,2744239000,Andreessen Horowitz
Ward-Martinez,2019-10-17,107873000,Tiger Global
Porter Group,2019-10-17,404261000,Y Combinator
"Williams, Stevenson and Blair",2019-10-17,2892219000,Sequoia
Olson LLC,2019-10-17,1562843000,Tiger Global
"Brown, Weaver and Brandt",2019-10-17,295951000,Y Combinator
Hill-Riddle,2019-10-17,489529000,Index Ventures
Boyer-Wilkins,2019-10-17,393442000,Y Combinator
"Carter, Peterson and Mitchell",2019-10-17,50317000,SoftBank
Thompson-Phelps,2019-10-16,151694000,Accel
Anderson-Carr,2019-10-16,329046000,SoftBank
Ellis-Murphy,2019-10-16,294610000,Accel
Cameron-Lopez,2019-10-16,265209000,SoftBank
Martinez and Sons,2019-10-16,363628000,Accel
"Ware, Garcia and Golden",2019-10-16,309678000,Index Ventures
Smith LLC,2019-10-16,132265000,SoftBank
Kennedy-Herrera,2019-10-16,361034000,Y Combinator
Holland-Harris,2019-10-16,442146000,Sequoia
"Whitaker, Vasquez and Logan",2019-10-16,187790000,SoftBank
Miller-Walker,2019-10-16,501537000,Tiger Global
"Weber, Cole and Jensen",2019-10-16,54719000,Sequoia
"Nolan, Evans and Mitchell",2019-10-16,1462496000,Andreessen Horowitz
"Lopez, Gilmore and Williams",2019-10-15,563905000,Y Combinator
Bennett-Smith,2019-10-15,151521000,Y Combinator
Webster Group,2019-10-15,45740000,Y Combinator
"Whitaker, Dougherty and Nolan",2019-10-15,518992000,Tiger Global
Savage Inc,2019-10-15,83962000,Sequoia
Sims-Patton,2019-10-15,574004000,Y Combinator
Valdez Group,2019-10-15,3143812000,Tiger Global
Bell-Riddle,2019-10-15,536416000,Tiger Global
Moreno Group,2019-10-15,125731000,SoftBank
Underwood-Fernandez,2019-10-15,77684000,Tiger Global
Garcia-Wood,2019-10-15,458955000,Index Ventures
Haynes-Miller,2019-10-14,170361000,Andreessen Horowitz
"Thomas, Cortez and Fields",2019-10-14,394872000,Tiger Global
Bradley-Morton,2019-10-14,328703000,SoftBank
Lopez and Sons,2019-10-14,1468781000,Tiger Global
Ingram and Sons,2019-10-14,83852000,Andreessen Horowitz
Randall PLC,2019-10-14,394564000,Y Combinator
"Conner, Walters and Smith",2019-10-14,314724000,SoftBank
Olsen-Martinez,2019-10-14,742019000,Y Combinator
"Soto, Hall and Russell",2019-10-14,143290000,Accel
Harris PLC,2019-10-14,96644000,Y Combinator
Orr-Hayes,2019-10-14,634456000,Accel
French-Chen,2019-10-14,212462000,Y Combinator
Parrish-Garcia,2019-10-14,302395000,Tiger Global
"Lynch, Fitzgerald and Hurst",2019-10-14,143638000,Tiger Global
Martin-Wall,2019-10-14,522125000,Index Ventures
Cook LLC,2019-10-14,1138522000,Tiger Global
Spencer Inc,2019-10-14,136179000,SoftBank
"Chapman, Smith and Mclaughlin",2019-10-14,1611785000,Y Combinator
Singh Group,2019-10-14,2911957000,Y Combinator
Rose-Whitehead,2019-10-13,183215000,Sequoia
Hurst-Davis,2019-10-13,952611000,Index Ventures
"Lopez, Salazar and Ross",2019-10-13,173431000,Andreessen Horowitz
"Stevens, Miller and Curtis",2019-10-13,131326000,Andreessen Horowitz
Harris-Torres,2019-10-13,140702000,Sequoia
"Chambers, Mcpherson and Williams",2019-10-13,424637000,Accel
Hurst-Martinez,2019-10-13,273478000,Sequoia
"Hodge, Farrell and Blake",2019-10-13,1066489000,Tiger Global
"Bell, Garcia and Hull",2019-10-13,2551675000,Sequoia
Hunter PLC,2019-10-13,4279745000,Tiger Global
Manning-Smith,2019-10-13,131760000,SoftBank
"Benson, Jordan and Stephens",2019-10-13,61593000,Sequoia
Jackson-Dawson,2019-10-13,182646000,Tiger Global
Martinez-Watson,2019-10-13,5483092000,Tiger Global
"Morales, Duncan and Harvey",2019-10-12,99127000,Index Ventures
Lee Group,2019-10-12,1421069000,Y Combinator
Dean Group,2019-10-12,315741000,SoftBank
Cohen and Sons,2019-10-12,1037423000,Sequoia
"Thomas, Cain and Hester",2019-10-12,373206000,Tiger Global
Baker-King,2019-10-12,1630507000,SoftBank
"Lynch, Fowler and Rojas",2019-10-12,135601000,Accel
"Smith, Decker and Dyer",2019-10-12,1924565000,Tiger Global
"Potts, Washington and Sloan",2019-10-12,780378000,Tiger Global
Montes-Peterson,2019-10-12,737449000,SoftBank
Marquez-Ferguson,2019-10-12,1613778000,Sequoia
Foster Group,2019-10-12,413054000,Andreessen Horowitz
"Ramsey, White and Becker",2019-10-12,827463000,Andreessen Horowitz
Dunn Group,2019-10-12,1266366000,SoftBank
"Bishop, Carroll and Murray",2019-10-11,3117496000,Index Ventures
Clements LLC,2019-10-11,297252000,Andreessen Horowitz
Kennedy-Myers,2019-10-11,932308000,SoftBank
"Hines, Frank and Robinson",2019-10-11,151464000,Sequoia
Carr-Miller,2019-10-11,1930685000,Tiger Global
Taylor-Scott,2019-10-11,505490000,Index Ventures
Walters LLC,2019-10-11,753130000,Y Combinator
Gonzalez Group,2019-10-11,221250000,Sequoia
"Roberts, Ibarra and Harrison",2019-10-11,154240000,Sequoia
"Mccarthy, Long and Weiss",2019-10-11,1826886000,Andreessen Horowitz
Johnson-Owens,2019-10-10,92615000,Index Ventures
Byrd Inc,2019-10-10,329548000,SoftBank
Wilcox-Harris,2019-10-10,352213000,Accel
Ward Inc,2019-10-10,1001861000,Y Combinator
Edwards Ltd,2019-10-10,783641000,SoftBank
Kline Group,2019-10-10,267155000,Sequoia
Nguyen Ltd,2019-10-10,13874439000,SoftBank
"Wallace, Rodriguez and Ray",2019-10-10,2837506000,Sequoia
Wagner and Sons,2019-10-10,865949000,Andreessen Horowitz
Flores-King,2019-10-10,398050000,Tiger Global
King Group,2019-10-10,675889000,Tiger Global
Robinson-Hall,2019-10-10,1079908000,Accel
Warner-Gonzalez,2019-10-10,814309000,Y Combinator
"Duncan, Peters and Rodgers",2019-10-10,1360914000,Y Combinator
Curtis PLC,2019-10-10,2431253000,Tiger Global
West and Sons,2019-10-10,228598000,Y Combinator
Reeves Group,2019-10-09,148748000,Tiger Global
Harrison-White,2019-10-09,1787554000,Andreessen Horowitz
Ritter Inc,2019-10-09,112533000,Tiger Global
"Johnson, Wilcox and Dunn",2019-10-09,156823000,SoftBank
Young Inc,2019-10-09,293408000,Sequoia
Diaz Ltd,2019-10-09,214833000,Tiger Global
Stone Inc,2019-10-09,646950000,Accel
Jimenez PLC,2019-10-09,857044000,Andreessen Horowitz
Dixon Ltd,2019-10-09,1895857000,Accel
Roberts Group,2019-10-09,283106000,Index Ventures
"Watkins, Perez and Hughes",2019-10-09,579764000,Index Ventures
Lopez-Gomez,2019-10-09,206525000,Y Combinator
Snow-Gonzalez,2019-10-09,118877000,Andreessen Horowitz
Griffin PLC,2019-10-09,455408000,Index Ventures
White-Gonzalez,2019-10-09,161091000,Index Ventures
Hernandez Inc,2019-10-09,775427000,Sequoia
Jackson and Sons,2019-10-09,3019026000,SoftBank
Simpson Inc,2019-10-09,1278047000,Y Combinator
"Pierce, Cole and Gutierrez",2019-10-09,330154000,Index Ventures
Smith-Jordan,2019-10-09,191335000,Tiger Global
"Horton, Mayo and Silva",2019-10-08,439556000,Accel
Perry-Price,2019-10-08,376825000,Tiger Global
"Rodriguez, Floyd and Sosa",2019-10-08,287145000,Accel
Jackson LLC,2019-10-08,347705000,Tiger Global
"Blackwell, Crawford and Garcia",2019-10-08,313825000,Y Combinator
"Thompson, Randall and Lopez",2019-10-08,3703500000,Sequoia
"Olson, Ramos and Mckenzie",2019-10-08,1110165000,Tiger Global
Black Inc,2019-10-08,70393000,Index Ventures
"Lloyd, Hamilton and Campbell",2019-10-08,136354000,Index Ventures
Mora Group,2019-10-08,302309000,Y Combinator
Walter-Franklin,2019-10-08,650879000,SoftBank
Sanchez-Bond,2019-10-08,1028199000,Sequoia
"Porter, Jackson and Delacruz",2019-10-07,665221000,SoftBank
Graves-Bradley,2019-10-07,508905000,Andreessen Horowitz
Miller and Sons,2019-10-07,74325000,Index Ventures
Snow-Fox,2019-10-07,668104000,Y Combinator
Davis-Scott,2019-10-07,1770768000,Index Ventures
Wilson-Nelson,2019-10-07,685967000,Sequoia
Whitney-Kirk,2019-10-07,387764000,SoftBank
"Hart, Padilla and Stein",2019-10-07,314364000,Sequoia
"Harding, Watts and Burnett",2019-10-07,357876000,Andreessen Horowitz
Walker LLC,2019-10-07,404254000,Andreessen Horowitz
"Collins, Jackson and Young",2019-10-07,1817097000,Tiger Global
Weaver-Harvey,2019-10-07,647091000,Sequoia
"Dixon, Edwards and Johnson",2019-10-07,304835000,Index Ventures
Turner-Williams,2019-10-07,965654000,Andreessen Horowitz
Thompson LLC,2019-10-07,1134362000,Y Combinator
"Rodriguez, Griffith and Franklin",2019-10-07,922312000,Tiger Global
"Lane, Welch and Coleman",2019-10-07,1872457000,Tiger Global
Lee PLC,2019-10-06,438990000,Index Ventures
"Harris, Bates and Spencer",2019-10-06,404239000,Sequoia
"Ortiz, Nelson and Berger",2019-10-06,313931000,Sequoia
Dean LLC,2019-10-06,297653000,Accel
"Davis, Jackson and Williams",2019-10-06,417840000,Andreessen Horowitz
Peck-Kramer,2019-10-06,72443000,Tiger Global
Carlson Ltd,2019-10-06,1088723000,Accel
Brown Group,2019-10-06,362130000,Tiger Global
"Melton, Lee and Gay",2019-10-06,126988000,Index Ventures
"Alvarez, Lindsey and Hill",2019-10-06,174952000,Andreessen Horowitz
Jordan Group,2019-10-06,154158000,Tiger Global
"Thompson, Pugh and Hill",2019-10-06,376295000,SoftBank
Rodriguez-Coleman,2019-10-06,655250000,SoftBank
Miller Inc,2019-10-06,276967000,Tiger Global
Ramos and Sons,2019-10-06,643381000,Accel
Richardson-Chen,2019-10-06,423214000,Tiger Global
Peck and Sons,2019-10-05,80828000,Andreessen Horowitz
Johnson PLC,2019-10-05,517365000,Andreessen Horowitz
Smith Ltd,2019-10-05,344427000,Andreessen Horowitz
Hale Group,2019-10-05,1514351000,Accel
Allen Inc,2019-10-05,834927000,Tiger Global
Davis-Wallace,2019-10-05,342685000,Sequoia
Peck Ltd,2019-10-05,579592000,Andreessen Horowitz
Johnson-Miller,2019-10-05,260558000,SoftBank
Barrera Ltd,2019-10-05,363914000,Index Ventures
Carter Group,2019-10-05,308994000,Andreessen Horowitz
Diaz-Moore,2019-10-04,586891000,SoftBank
Robinson-Wyatt,2019-10-04,713262000,Sequoia
Baker LLC,2019-10-04,6650172000,Accel
"Frey, Morgan and Mason",2019-10-04,698522000,Accel
Campbell LLC,2019-10-04,855386000,Sequoia
Sims Inc,2019-10-04,3539235000,Andreessen Horowitz
Blankenship PLC,2019-10-04,481464000,Y Combinator
"Jones, Gonzalez and Blair",2019-10-04,175438000,SoftBank
Lawson-Miller,2019-10-04,160178000,Sequoia
"Hansen, Hawkins and Alexander",2019-10-04,210270000,Accel
Hall Group,2019-10-04,804089000,Y Combinator
Turner-Wilson,2019-10-04,2164056000,Sequoia
"Lawson, Martin and Rose",2019-10-04,1007543000,Index Ventures
Rogers Inc,2019-10-04,81658000,Y Combinator
Taylor-Reed,2019-10-04,8523114000,Andreessen Horowitz
"Knight, Campos and Chavez",2019-10-03,778042000,Sequoia
Dickerson PLC,2019-10-03,152556000,Accel
Stewart-Camacho,2019-10-03,135346000,Y Combinator
"James, Simpson and Colon",2019-10-03,373551000,Index Ventures
Cardenas-Duarte,2019-10-03,73686000,Index Ventures
"Mcdowell, Dudley and Butler",2019-10-03,205693000,SoftBank
Ross-Blake,2019-10-03,283390000,Y Combinator
"Hall, Christensen and Wood",2019-10-03,2038687000,Accel
Jackson-Farley,2019-10-03,6505101000,Tiger Global
Moyer-Williams,2019-10-03,978163000,Sequoia
Rosales-Hanna,2019-10-03,2074950000,Sequoia
Stone-Camacho,2019-10-03,584250000,Sequoia
"Sellers, Martinez and Anderson",2019-10-03,254193000,Sequoia
Reynolds-Maxwell,2019-10-02,1527541000,SoftBank
Davis Ltd,2019-10-02,777895000,Tiger Global
"Chase, Holder and Brown",2019-10-02,6059649000,Andreessen Horowitz
Mckay Group,2019-10-02,525835000,Y Combinator
Acevedo-Callahan,2019-10-02,2059190000,Sequoia
Allen-Jackson,2019-10-02,514578000,SoftBank
"Lee, Garrett and Phillips",2019-10-02,258403000,Index Ventures
Martin-Watkins,2019-10-02,202599000,Sequoia
"Thompson, Shaw and Hall",2019-10-02,1224746000,Sequoia
Johnson-Lee,2019-10-02,3146368000,Andreessen Horowitz
Garcia-Gomez,2019-10-02,4435516000,Accel
"Guzman, Carey and Schwartz",2019-10-02,412756000,Sequoia
"Bailey, Haney and Huff",2019-10-02,1480123000,SoftBank
Fernandez LLC,2019-10-02,43001000,Tiger Global
Sanchez Group,2019-10-02,273242000,SoftBank
"Brown, Ellis and Sharp",2019-10-02,235101000,Y Combinator
Martin Group,2019-10-02,571010000,Andreessen Horowitz
Anthony PLC,2019-10-02,251170000,Y Combinator
Patterson Inc,2019-10-01,284548000,Index Ventures
Johnson and Sons,2019-10-01,43829000,Andreessen Horowitz
"Smith, Ryan and Moody",2019-10-01,2786380000,Accel
"Rivers, Sloan and Cameron",2019-10-01,184663000,Andreessen Horowitz
Armstrong PLC,2019-10-01,722351000,Sequoia
Dominguez PLC,2019-10-01,813119000,Accel
"Acevedo, Peters and Taylor",2019-10-01,583045000,Y Combinator
Gonzalez-Henry,2019-09-30,247902000,Tiger Global
Martin-Miranda,2019-09-30,624331000,SoftBank
Jones-Richards,2019-09-30,173182000,Accel
Mitchell Group,2019-09-30,2465543000,Tiger Global
"Nelson, Miller and Higgins",2019-09-30,591101000,Accel
Bird-Warren,2019-09-30,470074000,Index Ventures
"Malone, Oneill and Hoffman",2019-09-30,214948000,Index Ventures
Camacho Group,2019-09-30,359192000,Index Ventures
Ruiz-White,2019-09-30,1184017000,Andreessen Horowitz
"Foster, Kerr and Davis",2019-09-30,804477000,Andreessen Horowitz
"Sandoval, Dunn and Turner",2019-09-30,1017240000,Andreessen Horowitz
"Mills, Miller and Rice",2019-09-30,281371000,Y Combinator
"Martin, Mcdonald and Young",2019-09-30,142102000,Andreessen Horowitz
"Faulkner, Baker and Mitchell",2019-09-30,398490000,SoftBank
Rose-Shah,2019-09-29,768254000,Index Ventures
Vega and Sons,2019-09-29,249532000,SoftBank
Williams-Jackson,2019-09-29,412181000,Index Ventures
Warner-Riley,2019-09-29,506722000,Y Combinator
Wood Ltd,2019-09-29,645442000,Accel
Wilson Group,2019-09-29,201817000,Andreessen Horowitz
"Lopez, Black and Webb",2019-09-29,687302000,Tiger Global
Simon-Donovan,2019-09-28,699538000,Tiger Global
Lee-Williams,2019-09-28,580940000,Index Ventures
Howard Ltd,2019-09-28,663758000,Sequoia
Parrish-Anderson,2019-09-28,180635000,Accel
"Boyer, Baker and Allen",2019-09-28,165326000,Sequoia
Wallace Inc,2019-09-28,503234000,Y Combinator
Hutchinson LLC,2019-09-28,122284000,Sequoia
"Blevins, Morales and Baker",2019-09-28,1208308000,Index Ventures
Miller and Sons,2019-09-28,51688000,SoftBank
Walter Group,2019-09-28,91381000,Sequoia
Meza-Bowen,2019-09-28,2223594000,Index Ventures
Blackwell-Sullivan,2019-09-28,297767000,Sequoia
Solis-Barr,2019-09-28,269015000,Y Combinator
"Cook, Whitney and Valdez",2019-09-28,88064000,Y Combinator
Wells-Wheeler,2019-09-28,947672000,SoftBank
Williams-Williams,2019-09-28,333432000,SoftBank
"Lewis, Hutchinson and Gibson",2019-09-28,556055000,Y Combinator
Glass Ltd,2019-09-28,666160000,Tiger Global
Hensley Group,2019-09-28,1489838000,Y Combinator
Burns Group,2019-09-28,845358000,Tiger Global
Coleman and Sons,2019-09-28,113398000,Andreessen Horowitz
"Gibson, Armstrong and Knapp",2019-09-28,464533000,Index Ventures
Wallace PLC,2019-09-28,630775000,Tiger Global
Lewis-Bell,2019-09-28,417563000,Accel
Mccarty-Mckay,2019-09-27,1513395000,Sequoia
Benson Inc,2019-09-27,1152026000,SoftBank
Walker Inc,2019-09-27,447594000,Sequoia
"Phillips, Smith and Rivera",2019-09-27,293163000,Tiger Global
"Thompson, Clements and Curtis",2019-09-27,589354000,Sequoia
Cruz and Sons,2019-09-27,215585000,Index Ventures
"Hogan, Thompson and Flynn",2019-09-27,2169729000,Sequoia
"Raymond, Nash and Gray",2019-09-27,1548533000,Tiger Global
Swanson-Lee,2019-09-27,1581464000,Y Combinator
"Williams, Parsons and Swanson",2019-09-27,1039345000,Tiger Global
"Kim, Hamilton and Gomez",2019-09-27,537109000,Y Combinator
Lamb Ltd,2019-09-27,270335000,SoftBank
"Wilson, Parker and Smith",2019-09-27,76048000,SoftBank
Smith-Ramirez,2019-09-27,36684000,Index Ventures
Black PLC,2019-09-26,685192000,Accel
Martin Inc,2019-09-26,215039000,SoftBank
Black-Wilson,2019-09-26,36754000,Tiger Global
"Bishop, Mendez and Luna",2019-09-26,3132060000,Y Combinator
Friedman LLC,2019-09-26,324734000,Accel
Day Ltd,2019-09-26,905779000,Accel
"Turner, Wood and Johnson",2019-09-26,746497000,Y Combinator
Aguirre-Garcia,2019-09-26,553508000,Tiger Global
Castillo-Shaffer,2019-09-26,236424000,Tiger Global
Anderson Inc,2019-09-26,435693000,Sequoia
Colon Ltd,2019-09-26,212147000,Index Ventures
Mendoza-Hernandez,2019-09-26,3934297000,Y Combinator
Serrano LLC,2019-09-26,557231000,Accel
"Mitchell, Mack and Chapman",2019-09-26,1051625000,Tiger Global
"Randolph, Thompson and Hampton",2019-09-25,1435457000,Sequoia
Bailey-Martinez,2019-09-25,261472000,SoftBank
Johnson-Willis,2019-09-25,94725000,Y Combinator
Noble-Brown,2019-09-25,272837000,SoftBank
Smith Group,2019-09-25,93369000,Sequoia
Guerrero-Miller,2019-09-25,131502000,Accel
Rowe-Hale,2019-09-25,170721000,Y Combinator
Heath-Mccoy,2019-09-25,126113000,Accel
"Brown, Lara and Murphy",2019-09-25,593051000,Tiger Global
Hunt Ltd,2019-09-25,247184000,Accel
Coleman Inc,2019-09-25,306722000,Sequoia
"Brown, Gibson and Christensen",2019-09-24,632048000,Accel
Ross LLC,2019-09-24,768263000,Index Ventures
"Alvarez, Vasquez and Gibson",2019-09-24,419476000,Andreessen Horowitz
Keith-Mendez,2019-09-24,470335000,Accel
"Mccarthy, Harris and Garcia",2019-09-24,675160000,Index Ventures
James and Sons,2019-09-24,253313000,Tiger Global
Myers and Sons,2019-09-24,352913000,Sequoia
Morgan-Robles,2019-09-24,409243000,SoftBank
Dean Group,2019-09-24,346216000,Tiger Global
Smith Ltd,2019-09-24,347107000,SoftBank
Schwartz-Ellis,2019-09-24,994267000,Andreessen Horowitz
Howard LLC,2019-09-24,1910145000,Accel
"Thompson, Gill and Smith",2019-09-23,83176000,Index Ventures
"Randall, Mitchell and Lopez",2019-09-23,511307000,Tiger Global
Torres-Perez,2019-09-23,1240840000,SoftBank
Murphy-Burns,2019-09-23,249099000,SoftBank
Lyons-Fleming,2019-09-23,133824000,Y Combinator
Collins and Sons,2019-09-23,213943000,Index Ventures
Ponce LLC,2019-09-23,193751000,SoftBank
"Calderon, Osborn and Li",2019-09-23,1171888000,Y Combinator
"Kim, Cooper and Orr",2019-09-23,448167000,Accel
Collins-Hernandez,2019-09-23,198924000,Index Ventures
"Walton, Murphy and Woodard",2019-09-23,913009000,Sequoia
"Johnson, Rodriguez and Smith",2019-09-23,3032031000,SoftBank
"Jenkins, Morris and Sherman",2019-09-23,1513185000,Accel
"Davis, Collier and Juarez",2019-09-23,331718000,Tiger Global
Williams-Sherman,2019-09-23,7159581000,Y Combinator
Mccarty Group,2019-09-23,137891000,Y Combinator
Cain Ltd,2019-09-23,845268000,Y Combinator
"Carrillo, Barber and Sullivan",2019-09-23,946367000,Accel
Baker PLC,2019-09-22,244170000,Accel
Hudson-Mcconnell,2019-09-22,230150000,Tiger Global
Matthews PLC,2019-09-22,127422000,Y Combinator
Campbell-Quinn,2019-09-22,2282491000,Index Ventures
Gomez LLC,2019-09-22,3373285000,Y Combinator
Jones Ltd,2019-09-22,106778000,Y Combinator
Turner-Walker,2019-09-22,286591000,Tiger Global
White Inc,2019-09-21,367592000,SoftBank
Smith-King,2019-09-21,497590000,Index Ventures
Baird-Bean,2019-09-21,1164935000,Y Combinator
Salazar-Johnson,2019-09-21,250168000,Index Ventures
Armstrong-Austin,2019-09-21,254492000,Tiger Global
Chen-Mills,2019-09-21,387210000,SoftBank
"Kelly, Hill and Moore",2019-09-21,468101000,Y Combinator
Bailey-Jordan,2019-09-21,141493000,Accel
Gibson Group,2019-09-21,2388829000,Tiger Global
"Kidd, Wilson and Gomez",2019-09-21,283431000,Index Ventures
Monroe-Lewis,2019-09-21,1607716000,Accel
Cruz LLC,2019-09-21,504889000,Andreessen Horowitz
"Petersen, Mcbride and Campbell",2019-09-21,820662000,Y Combinator
Torres-Gonzalez,2019-09-21,65080000,SoftBank
Nichols-Buchanan,2019-09-21,666837000,SoftBank
Wilkinson Inc,2019-09-21,147165000,Index Ventures
Hopkins Inc,2019-09-21,937491000,Accel
Flores-Brewer,2019-09-21,161606000,Index Ventures
Perry Ltd,2019-09-21,40122000,Andreessen Horowitz
Mckenzie Inc,2019-09-21,185298000,SoftBank
Brooks-Roberson,2019-09-21,285406000,Sequoia
"Simon, Wheeler and Hoffman",2019-09-21,233958000,SoftBank
Hebert-Moss,2019-09-20,1103043000,Tiger Global
"Mcgrath, Jones and King",2019-09-20,959484000,Sequoia
Ayala LLC,2019-09-20,156144000,Sequoia
Oconnor-Craig,2019-09-20,289044000,Sequoia
Knight-Huerta,2019-09-20,166566000,SoftBank
"Moore, Bell and Dougherty",2019-09-20,1064242000,Sequoia
Archer Inc,2019-09-20,118896000,Sequoia
Martin Group,2019-09-20,1204750000,Y Combinator
Hernandez and Sons,2019-09-20,83217000,Y Combinator
Richardson-Robinson,2019-09-20,344420000,Sequoia
Green Group,2019-09-20,2367610000,Accel
Scott Inc,2019-09-20,225352000,Y Combinator
"Hill, Barker and Cross",2019-09-20,45290000,Sequoia
Castro-Anderson,2019-09-20,1005795000,Index Ventures
"Mccullough, Weaver and Thomas",2019-09-20,108613000,Y Combinator
Wilson and Sons,2019-09-20,209977000,SoftBank
Jimenez Inc,2019-09-20,312485000,Sequoia
Scott-Garcia,2019-09-19,350929000,Sequoia
"Holloway, Price and Rogers",2019-09-19,1043660000,Y Combinator
Davis Group,2019-09-19,1336719000,Index Ventures
"Young, Daugherty and Young",2019-09-19,126883000,Y Combinator
"Young, Browning and Watts",2019-09-19,391224000,Sequoia
"Ponce, Levine and Smith",2019-09-19,27268000,SoftBank
Schneider-Gould,2019-09-19,3718131000,Andreessen Horowitz
Evans Group,2019-09-19,877648000,Accel
"Shah, Johnson and Weaver",2019-09-19,534798000,Sequoia
Lewis-Rose,2019-09-19,393318000,Index Ventures
Kelly-Ibarra,2019-09-19,784361000,Andreessen Horowitz
"Watson, Foster and Mayo",2019-09-19,346204000,SoftBank
"Gomez, Ashley and Wilson",2019-09-19,908863000,Andreessen Horowitz
Hart-Manning,2019-09-19,1001370000,Index Ventures
Rivera and Sons,2019-09-19,120885000,Y Combinator
Wall Ltd,2019-09-19,723584000,Andreessen Horowitz
Salazar PLC,2019-09-18,121629000,Accel
Robinson and Sons,2019-09-18,877688000,Y Combinator
"Delgado, Vaughan and Warren",2019-09-18,1026221000,Sequoia
"Mitchell, Lee and Cummings",2019-09-18,395342000,Y Combinator
Scott Inc,2019-09-18,831483000,Y Combinator
Gibson Ltd,2019-09-18,351707000,Index Ventures
"Williams, Lara and Yang",2019-09-18,1132543000,Index Ventures
Lloyd-Barry,2019-09-18,283491000,Andreessen Horowitz
Oneill and Sons,2019-09-18,71658000,Tiger Global
"Dominguez, Stevens and Moore",2019-09-18,699777000,Y Combinator
Martin and Sons,2019-09-18,281469000,Accel
Myers-Foster,2019-09-18,989631000,Accel
"Moore, Little and Hansen",2019-09-18,28043000,Index Ventures
Meyer Ltd,2019-09-18,1735736000,Andreessen Horowitz
Tran PLC,2019-09-18,264318000,Tiger Global
Hahn and Sons,2019-09-18,1014239000,Andreessen Horowitz
"Porter, Brown and King",2019-09-18,281809000,Sequoia
Mcguire-Smith,2019-09-18,57087000,SoftBank
Dominguez LLC,2019-09-18,350531000,Index Ventures
"Navarro, Galvan and Jones",2019-09-18,232814000,Y Combinator
Wilkins-Harris,2019-09-18,583029000,Accel
"Boyd, Mitchell and Gibbs",2019-09-18,509098000,SoftBank
Roberts-Wilkinson,2019-09-17,338136000,Andreessen Horowitz
Jenkins-Gonzalez,2019-09-17,254891000,Accel
Ellis Group,2019-09-17,171592000,SoftBank
Johnson-Oneal,2019-09-17,458854000,Y Combinator
"Stewart, Walton and Shah",2019-09-17,310653000,Tiger Global
Nixon-Davis,2019-09-17,299003000,Y Combinator
"Mccullough, Smith and Huff",2019-09-17,352770000,Accel
Walsh-Gray,2019-09-17,290357000,SoftBank
Andrews Group,2019-09-17,221768000,Tiger Global
Vasquez Group,2019-09-17,59496000,Index Ventures
Cochran Group,2019-09-17,189092000,Index Ventures
Griffin Inc,2019-09-17,559911000,Andreessen Horowitz
Wilson Group,2019-09-17,266569000,Sequoia
"Douglas, Strickland and Underwood",2019-09-17,1776204000,SoftBank
Bolton-Hudson,2019-09-17,139266000,Andreessen Horowitz
Long-Walker,2019-09-17,207960000,SoftBank
Porter LLC,2019-09-17,467863000,Andreessen Horowitz
Robinson PLC,2019-09-17,325457000,SoftBank
Barnes-Dunn,2019-09-16,1543669000,Index Ventures
Wheeler and Sons,2019-09-16,292026000,Andreessen Horowitz
Love-Griffin,2019-09-16,182492000,Tiger Global
Smith LLC,2019-09-16,97350000,Andreessen Horowitz
Williams-Flores,2019-09-16,628949000,Andreessen Horowitz
Fletcher-Williams,2019-09-16,1624069000,SoftBank
Rodriguez-Christian,2019-09-16,83749000,SoftBank
James-Johnson,2019-09-16,195191000,Accel
"Garcia, King and White",2019-09-16,1222436000,Tiger Global
